period,quarters_observed,complete_year,labor_force_thousands,unemployed_thousands,discouraged_proxy_thousands,marginal_proxy_thousands,involuntary_part_time_proxy_thousands,u1,u1_lower_bound,u1_upper_bound,u2,u2_available,u3,u4,u5,u6,weight_source
2005,4,True,21140.560965,1933.573425,264.496450,1105.617745,395.619052,5.499390,4.211812,5.733495,,False,9.146273,10.268928,13.661632,15.440001,FACTOREL
2006,4,True,21779.976685,1840.880062,229.095453,956.550200,408.190445,4.809763,3.638153,5.022783,,False,8.452167,9.405101,12.303683,14.098990,FACTOREL
2007,4,True,22426.079285,1846.141417,182.411252,800.243873,404.501720,4.575716,3.397958,4.789853,,False,8.232118,8.972526,11.393905,13.135471,FACTOREL
2008,4,True,23065.581300,2595.924415,214.534050,826.369720,466.582405,6.186654,4.330686,6.524103,,False,11.254537,12.072356,14.324046,16.276932,FACTOREL
2009,4,True,23260.424173,4153.535582,324.610055,991.532465,637.132933,12.316705,9.265004,12.871560,,False,17.856663,18.987234,21.215064,23.842204,FACTOREL
2010,4,True,23364.609525,4640.137920,387.885680,1037.383767,754.067225,15.102095,12.635101,15.550640,,False,19.859685,21.168402,23.266631,26.356818,FACTOREL
2011,4,True,23434.081645,5012.675028,390.166302,1035.160865,861.487895,16.683836,14.233805,17.129296,,False,21.390533,22.677909,24.716073,28.236770,FACTOREL
2012,4,True,23443.707328,5811.042487,452.051910,1152.537687,983.972162,20.019389,17.381438,20.499016,,False,24.787216,26.210067,28.311558,32.312055,FACTOREL
2013,4,True,23190.140965,6051.133590,488.539630,1214.971695,1122.478073,21.801492,19.462580,22.226749,,False,26.093561,27.618402,29.772882,34.372238,FACTOREL
2014,4,True,22954.567670,5610.394115,462.759095,1149.729695,1141.241690,20.496663,18.511795,20.857548,,False,24.441297,25.934443,28.045305,32.779904,FACTOREL
2015,4,True,22922.035275,5055.987568,382.283553,1018.343083,1132.247550,18.213215,16.358150,18.550499,,False,22.057324,23.335894,25.372743,30.102190,FACTOREL
2016,4,True,22822.723888,4481.174378,353.732753,943.346215,1040.838170,15.728785,13.927413,16.056307,,False,19.634704,20.861287,22.824643,27.204156,FACTOREL
2017,4,True,22741.718165,3916.932655,308.145240,891.538235,967.884127,13.214939,11.520325,13.523051,,False,17.223556,18.330165,20.346205,24.441638,FACTOREL
2018,4,True,22806.812975,3479.111738,276.847400,829.913325,897.365790,11.319358,9.701063,11.613594,,False,15.254704,16.271073,18.230211,22.026700,FACTOREL
2019,4,True,23027.102032,3247.789865,243.480485,776.867053,860.250315,10.098415,8.480468,10.392588,,False,14.104206,15.002935,16.907504,20.521398,FACTOREL
2020,4,True,22733.317452,3530.907158,277.753585,1174.456927,698.519082,11.073401,8.874512,11.473199,,False,15.531861,16.551428,19.681314,22.603037,FACTOREL
2021,4,True,23309.910460,3476.434183,172.362223,982.708673,810.761608,11.045079,9.522706,11.321874,10.675439,True,14.913975,15.538515,18.355958,21.693439,FACB2021
2022,4,True,23626.678788,3079.192272,139.864155,810.703820,726.416235,9.126501,7.700282,9.385813,9.098928,True,13.032692,13.544487,15.917810,18.890371,FACB2021
2023,4,True,24119.691760,2937.487250,135.164390,759.927470,708.208158,8.223415,6.775522,8.486668,8.440138,True,12.178793,12.668192,14.861219,17.707758,FACB2021
2024,4,True,24424.585000,2770.692870,126.282000,733.869008,681.266635,7.415467,6.051411,7.663476,7.717607,True,11.343869,11.799888,13.929957,16.637861,FACTOREL
2025,4,True,24829.250177,2608.137993,115.352315,692.207535,680.971032,6.807965,5.539617,7.038574,7.238063,True,10.504296,10.918155,12.931650,15.599879,FACTOREL
2026,2,False,25137.914335,2601.960505,107.476325,625.152870,708.226660,6.865004,5.414869,7.128665,7.050577,True,10.350741,10.732402,12.526123,15.275122,FACTOREL
