period,labor_force_thousands,unemployed_thousands,discouraged_proxy_thousands,marginal_proxy_thousands,involuntary_part_time_proxy_thousands,u1,u1_lower_bound,u1_upper_bound,u2,u2_available,u3,u4,u5,u6,weight_source
2005-Q1,20857.399960,2121.333220,263.646660,1206.426920,400.125240,6.242955,4.753275,6.513806,,False,10.170650,11.291959,15.082425,16.895915,FACTOREL
2005-Q2,21129.717910,1969.137220,261.922190,1053.965030,427.865870,5.834321,4.450695,6.085890,,False,9.319278,10.429586,13.627594,15.556335,FACTOREL
2005-Q3,21205.626320,1783.538820,277.089910,1117.736270,352.917240,4.843339,3.819667,5.029461,,False,8.410687,9.592031,12.996586,14.577519,FACTOREL
2005-Q4,21369.499670,1860.284440,255.327040,1044.342760,401.567860,5.093490,3.836261,5.322078,,False,8.705325,9.783253,12.959077,14.750684,FACTOREL
2006-Q1,21521.253360,1942.813370,240.764890,1029.925730,427.021890,5.159348,3.856851,5.396165,,False,9.027417,10.033896,13.182189,15.075757,FACTOREL
2006-Q2,21726.011520,1834.413950,247.958630,942.158520,432.683300,5.042157,3.807805,5.266584,,False,8.443400,9.476542,12.248772,14.157542,FACTOREL
2006-Q3,21857.808950,1766.851860,233.748500,965.623890,347.650430,4.400647,3.421939,4.578593,,False,8.083390,9.055950,11.972238,13.495455,FACTOREL
2006-Q4,22014.832910,1819.441070,193.909790,888.492660,425.406160,4.644870,3.471602,4.858192,,False,8.264614,9.065578,11.823321,13.680720,FACTOREL
2007-Q1,22130.751830,1863.227160,203.589710,867.404510,429.447570,4.898010,3.626338,5.129223,,False,8.419177,9.253986,11.873263,13.740576,FACTOREL
2007-Q2,22354.132530,1773.188660,158.116020,730.341740,422.948800,4.551895,3.434077,4.755135,,False,7.932263,8.578906,10.845083,12.677262,FACTOREL
2007-Q3,22559.565640,1806.171630,179.158690,775.927850,364.628960,4.186707,3.184622,4.368904,,False,8.006234,8.731054,11.065116,12.627667,FACTOREL
2007-Q4,22659.867140,1941.978220,188.780590,827.301390,400.981550,4.671733,3.351670,4.911744,,False,8.570122,9.325536,11.790606,13.497843,FACTOREL
2008-Q1,22810.433100,2190.480480,180.407340,795.680760,416.121500,5.233869,3.741577,5.505195,,False,9.602976,10.312315,12.649948,14.412719,FACTOREL
2008-Q2,23032.639660,2385.691630,196.075400,780.409630,460.001920,5.738283,3.986522,6.056785,,False,10.357873,11.114549,13.295657,15.227379,FACTOREL
2008-Q3,23157.140460,2600.695460,225.585320,856.897290,438.114780,5.984863,4.265448,6.297484,,False,11.230642,12.087046,14.398215,16.222626,FACTOREL
2008-Q4,23262.111980,3206.830090,256.068140,872.491200,552.091420,7.765768,5.314067,8.211532,,False,13.785636,14.724346,16.902376,19.189927,FACTOREL
2009-Q1,23302.609810,4018.167650,274.783750,911.823580,606.170070,10.963064,7.580532,11.578070,,False,17.243423,18.207913,20.359722,22.863064,FACTOREL
2009-Q2,23293.828300,4139.581980,301.152190,934.883000,647.696110,12.513726,9.124956,13.129865,,False,17.771153,18.820673,20.944015,23.617274,FACTOREL
2009-Q3,23219.839680,4121.403020,352.182440,1060.706670,604.213880,12.352070,9.675732,12.838677,,False,17.749490,18.978370,21.342640,23.831109,FACTOREL
2009-Q4,23225.418900,4334.989680,370.321840,1058.716610,690.451670,13.441889,10.684906,13.943159,,False,18.664850,19.941360,22.210823,25.054044,FACTOREL
2010-Q1,23270.549290,4617.695720,400.532360,1052.604710,718.839470,14.910293,12.160656,15.410228,,False,19.843518,21.199826,23.312357,26.267728,FACTOREL
2010-Q2,23406.412300,4655.305750,391.730270,1025.965340,781.134570,15.402527,12.727774,15.888845,,False,19.889019,21.207689,23.253042,26.450171,FACTOREL
2010-Q3,23404.381800,4585.376280,388.784640,1062.899570,722.774430,14.757748,12.661715,15.138846,,False,19.591956,20.905838,23.085016,26.039061,FACTOREL
2010-Q4,23377.094710,4702.173930,370.495450,1008.065450,793.520430,15.336964,12.987949,15.764058,,False,20.114450,21.360775,23.416862,26.670974,FACTOREL
2011-Q1,23347.329330,4921.172050,398.809760,1053.940100,854.471090,16.343867,13.758055,16.814015,,False,21.078094,22.403565,24.486891,27.988639,FACTOREL
2011-Q2,23466.185320,4844.221320,376.900540,1001.607570,895.996050,16.402290,13.903280,16.856655,,False,20.643412,21.897844,23.891934,27.553874,FACTOREL
2011-Q3,23482.485840,4998.009840,392.926000,1027.208480,808.291850,16.374517,14.165802,16.776102,,False,21.283990,22.579446,24.583001,27.880846,FACTOREL
2011-Q4,23440.326090,5287.296900,392.028910,1057.887310,887.192590,17.614187,15.106681,18.070098,,False,22.556414,23.830317,25.900600,29.522058,FACTOREL
2012-Q1,23432.987060,5667.879590,417.010230,1098.546170,962.947000,19.336872,16.474086,19.857378,,False,24.187610,25.513168,27.582564,31.507907,FACTOREL
2012-Q2,23489.516630,5731.026970,431.011200,1084.691770,977.883830,20.077709,17.304822,20.581870,,False,24.398233,25.760461,27.735252,31.714562,FACTOREL
2012-Q3,23491.934030,5824.233520,473.565990,1213.105470,944.779340,19.751173,17.480363,20.164047,,False,24.792482,26.278607,28.485439,32.309676,FACTOREL
2012-Q4,23360.391590,6021.029870,486.620220,1213.807340,1050.278480,20.915112,18.269169,21.396193,,False,25.774525,27.289164,29.440786,33.714693,FACTOREL
2013-Q1,23308.406780,6278.218440,481.699700,1223.616250,1117.936450,22.543095,19.692827,23.061325,,False,26.935425,28.414829,30.579764,35.136813,FACTOREL
2013-Q2,23207.883990,6047.319070,497.310830,1229.205620,1190.369100,22.242118,19.845706,22.677830,,False,26.057176,27.608421,29.776560,34.647718,FACTOREL
2013-Q3,23173.402730,5943.353140,504.340610,1242.168280,1013.434470,21.109608,19.129290,21.469666,,False,25.647304,27.231032,29.430077,33.580848,FACTOREL
2013-Q4,23070.870360,5935.643710,470.807380,1164.896630,1168.172270,21.303971,19.179332,21.690269,,False,25.727871,27.213231,29.297774,34.117809,FACTOREL
2014-Q1,22883.897120,5933.301040,483.554930,1187.656150,1153.632870,21.951409,19.659440,22.368131,,False,25.927844,27.460657,29.582458,34.374974,FACTOREL
2014-Q2,22975.872770,5622.860330,461.325880,1121.153900,1222.472330,20.970693,18.995210,21.329872,,False,24.472891,25.959528,27.986914,33.060040,FACTOREL
2014-Q3,22931.673470,5427.668530,472.473450,1212.009540,1032.936440,19.486530,17.848300,19.784390,,False,23.668872,25.209814,27.500684,31.778973,FACTOREL
2014-Q4,23026.827320,5457.746560,433.682120,1078.099190,1155.925120,19.583925,17.549683,19.953787,,False,23.701687,25.112109,27.114149,31.909539,FACTOREL
2015-Q1,22899.415130,5444.627770,402.001830,1032.716780,1192.299780,19.965469,17.845953,20.350836,,False,23.776274,25.091305,27.065472,32.047476,FACTOREL
2015-Q2,23015.548080,5149.009980,377.895870,974.637540,1170.993860,18.940508,17.078346,19.279083,,False,22.371876,23.625875,25.525636,30.406773,FACTOREL
2015-Q3,22899.510990,4850.805120,374.899640,1073.926380,1044.995820,17.100527,15.532341,17.385652,,False,21.183007,22.452576,24.713734,29.072707,FACTOREL
2015-Q4,22873.666900,4779.507400,374.336870,992.091630,1120.700740,16.841129,14.970751,17.181197,,False,20.895239,22.168976,24.183598,28.879450,FACTOREL
2016-Q1,22821.013200,4791.407550,360.840140,953.508400,1084.211650,17.091955,15.077668,17.458189,,False,20.995595,22.225348,24.164171,28.724564,FACTOREL
2016-Q2,22875.658150,4574.683720,356.355410,919.836120,1070.520130,16.386826,14.533793,16.723742,,False,19.998042,21.225190,23.090589,27.589425,FACTOREL
2016-Q3,22848.330570,4320.807120,361.340840,971.978630,940.976510,14.879666,13.323990,15.162516,,False,18.910822,20.173263,22.219635,26.169947,FACTOREL
2016-Q4,22745.893630,4237.799120,336.394620,928.061710,1067.644390,14.552259,12.769661,14.876368,,False,18.631051,19.816899,21.820861,26.330645,FACTOREL
2017-Q1,22693.291860,4255.027060,315.210510,922.868460,1035.411640,14.795206,12.849640,15.148945,,False,18.750154,19.863255,21.925222,26.309557,FACTOREL
2017-Q2,22727.611300,3914.300140,301.275370,868.536950,1020.855720,13.645350,11.980431,13.948062,,False,17.222664,18.305598,20.269567,24.595933,FACTOREL
2017-Q3,22780.944410,3731.731100,314.164240,938.808160,846.092290,12.087550,10.658408,12.347394,,False,16.380932,17.518408,19.690506,23.257543,FACTOREL
2017-Q4,22765.025090,3766.672320,301.930840,835.939370,969.176860,12.338125,10.598369,12.654445,,False,16.545874,17.638232,19.501795,23.608309,FACTOREL
2018-Q1,22670.284090,3796.078880,285.288450,839.813870,927.166430,12.581455,10.739398,12.916374,,False,16.744734,17.779419,19.718730,23.662425,FACTOREL
2018-Q2,22834.167000,3490.100700,274.074740,807.871940,943.504750,11.827021,10.222579,12.118738,,False,15.284555,16.289320,18.179365,22.170158,FACTOREL
2018-Q3,22853.955320,3325.975070,284.993410,858.183190,796.715320,10.517779,9.150863,10.766309,,False,14.553170,15.605586,17.645639,21.005586,FACTOREL
2018-Q4,22868.845490,3304.292300,263.033000,813.784300,922.076660,10.362384,8.700859,10.664480,,False,14.448881,15.421684,17.388595,21.282068,FACTOREL
2019-Q1,22825.354510,3354.222850,261.295690,797.153950,877.179700,10.792353,8.984744,11.121009,,False,14.695162,15.660646,17.573819,21.287140,FACTOREL
2019-Q2,23035.537320,3230.627720,240.126000,720.533620,902.420700,10.327950,8.735229,10.617536,,False,14.024538,14.911514,16.632217,20.430912,FACTOREL
2019-Q3,23088.704140,3214.380650,240.828540,823.512410,776.679140,9.621612,8.189062,9.882076,,False,13.921876,14.810452,16.886319,20.134362,FACTOREL
2019-Q4,23158.812160,3191.928240,231.671710,766.268230,884.721720,9.661517,8.020572,9.959871,,False,13.782780,14.636721,16.544130,20.242014,FACTOREL
2020-Q1,22994.225770,3312.961150,233.242030,844.343940,766.274750,10.229324,8.448902,10.553038,,False,14.407796,15.267283,17.439407,20.653839,FACTOREL
2020-Q2,21975.177720,3367.957530,263.558780,1677.765360,477.184200,10.077622,7.803654,10.491071,,False,15.326190,16.329688,21.332326,23.349767,FACTOREL
2020-Q3,22899.796470,3722.927110,318.734720,1196.798580,723.306050,11.747503,9.100720,12.228736,,False,16.257468,17.407052,20.416684,23.418378,FACTOREL
2020-Q4,23064.069850,3719.782840,295.478810,978.919830,827.311330,12.194386,10.094537,12.576176,,False,16.128042,17.188952,19.542922,22.983889,FACTOREL
2021-Q1,22942.953460,3703.315740,205.491140,1162.011100,801.771130,12.371581,10.580793,12.697179,11.848882,True,16.141408,16.885829,20.183920,23.510086,FACB2021
2021-Q2,23302.497460,3586.355070,172.365840,975.441380,910.954950,11.705117,10.146141,11.988567,11.032075,True,15.390432,16.011684,18.789884,22.542076,FACB2021
2021-Q3,23570.642290,3467.353470,178.269070,954.035890,750.962300,10.446063,9.130728,10.685215,10.361976,True,14.710475,15.350693,18.028328,21.090396,FACB2021
2021-Q4,23423.548630,3148.712450,133.322840,839.346320,779.358050,9.691943,8.260553,9.952196,9.486711,True,13.442508,13.932390,16.436863,19.649002,FACB2021
