period,quarters_observed,complete_year,labor_force_thousands,unemployed_thousands,economic_reason_inactive_thousands,wants_available_inactive_thousands,involuntary_part_time_thousands,u3,u4,u5,u6,weight_source,weight_vintage
2005,4,True,21140.560965,1933.573425,267.454313,1055.351000,748.990430,9.146273,10.281326,13.466103,16.840555,FACTOREL,current
2006,4,True,21779.976685,1840.880062,230.308522,905.335550,768.276253,8.452167,9.410094,12.105699,15.492367,FACTOREL,current
2007,4,True,22426.079285,1846.141417,184.963233,739.854540,770.086015,8.232118,8.982800,11.162926,14.487143,FACTOREL,current
2008,4,True,23065.581300,2595.924415,218.767285,769.776397,838.653865,11.254537,12.088342,14.120622,17.639151,FACTOREL,current
2009,4,True,23260.424173,4153.535582,330.531645,923.798198,1053.101207,17.856663,19.007569,20.994406,25.348903,FACTOREL,current
2010,4,True,23364.609525,4640.137920,391.185662,973.810242,1218.262813,19.859685,21.179352,23.066198,28.071711,FACTOREL,current
2011,4,True,23434.081645,5012.675028,396.551370,962.006035,1338.668013,21.390533,22.698627,24.490325,29.977549,FACTOREL,current
2012,4,True,23443.707328,5811.042487,455.816985,1075.859900,1489.764860,24.787216,26.221691,28.087373,34.163194,FACTOREL,current
2013,4,True,23190.140965,6051.133590,492.782437,1148.252800,1678.292375,26.093561,27.631369,29.580368,36.476026,FACTOREL,current
2014,4,True,22954.567670,5610.394115,465.857648,1084.180705,1735.537000,24.441297,25.944242,27.849099,35.068847,FACTOREL,current
2015,4,True,22922.035275,5055.987568,382.743088,949.234110,1753.369172,22.057324,23.337406,25.156692,32.501794,FACTOREL,current
2016,4,True,22822.723888,4481.174378,354.265675,885.092050,1702.910102,19.634704,20.863107,22.635010,29.817916,FACTOREL,current
2017,4,True,22741.718165,3916.932655,309.525085,831.757010,1633.772313,17.223556,18.335053,20.144207,27.074761,FACTOREL,current
2018,4,True,22806.812975,3479.111738,277.572818,774.852392,1528.694942,15.254704,16.273704,18.039286,24.521843,FACTOREL,current
2019,4,True,23027.102032,3247.789865,243.831920,725.015897,1508.867115,14.104206,15.004219,16.726112,23.078670,FACTOREL,current
2020,4,True,22733.317452,3530.907158,322.761585,1122.592508,1387.483777,15.531861,16.714328,19.506695,25.322796,FACTOREL,current
2021,4,True,23309.910460,3476.434183,243.956462,928.112318,1453.235630,14.913975,15.795244,18.172054,24.167739,FACB2021,current
2022,4,True,23626.678788,3079.192272,158.759058,769.982297,1388.911670,13.032692,13.613167,15.777465,21.470505,FACB2021,current
2023,4,True,24119.691760,2937.487250,147.145083,720.920980,1361.738077,12.178793,12.711308,14.727528,20.209430,FACB2021,current
2024,4,True,24424.585000,2770.692870,140.345233,695.283365,1338.356677,11.343869,11.850382,13.797748,19.125629,FACTOREL,current
2025,4,True,24829.250177,2608.137993,131.422227,657.860050,1356.454445,10.504296,10.975506,12.814313,18.136432,FACTOREL,current
2026,2,False,25137.914335,2601.960505,118.955040,589.052675,1368.724895,10.350741,10.772972,12.403379,17.723574,FACTOREL,current
