period,labor_force_thousands,unemployed_thousands,economic_reason_inactive_thousands,wants_available_inactive_thousands,involuntary_part_time_thousands,u3,u4,u5,u6,weight_source,weight_vintage
2005-Q1,20857.399960,2121.333220,269.812970,1155.104790,741.577130,10.170650,11.317850,14.884440,18.253330,FACTOREL,current
2005-Q2,21129.717910,1969.137220,264.234470,1000.342670,780.365530,9.319278,10.439266,13.418309,16.944578,FACTOREL,current
2005-Q3,21205.626320,1783.538820,275.626580,1066.342330,736.996870,8.410687,9.585872,12.795821,16.104899,FACTOREL,current
2005-Q4,21369.499670,1860.284440,260.143230,999.614210,737.022190,8.705325,9.803341,12.785033,16.079854,FACTOREL,current
2006-Q1,21521.253360,1942.813370,243.075240,980.440070,771.553560,9.027417,10.043446,12.991260,16.420129,FACTOREL,current
2006-Q2,21726.011520,1834.413950,248.519090,893.203410,783.293180,8.443400,9.478851,12.058851,15.521805,FACTOREL,current
2006-Q3,21857.808950,1766.851860,234.048550,911.454900,733.070270,8.083390,9.057185,11.762817,14.982377,FACTOREL,current
2006-Q4,22014.832910,1819.441070,195.591210,836.243820,785.188000,8.264614,9.072462,11.621706,15.057815,FACTOREL,current
2007-Q1,22130.751830,1863.227160,206.353080,813.804370,806.427150,8.419177,9.265213,11.667393,15.182070,FACTOREL,current
2007-Q2,22354.132530,1773.188660,162.062140,665.198690,782.626270,7.932263,8.594928,10.592781,13.992646,FACTOREL,current
2007-Q3,22559.565640,1806.171630,181.667780,717.502390,747.145420,8.006234,8.741124,10.841890,14.051681,FACTOREL,current
2007-Q4,22659.867140,1941.978220,189.769930,762.912710,744.145220,8.570122,9.329462,11.548121,14.725136,FACTOREL,current
2008-Q1,22810.433100,2190.480480,184.113300,735.185890,774.022820,9.602976,10.326769,12.425523,15.712856,FACTOREL,current
2008-Q2,23032.639660,2385.691630,198.379160,734.836910,817.787570,10.357873,11.123364,13.129406,16.570190,FACTOREL,current
2008-Q3,23157.140460,2600.695460,230.406970,798.873700,817.545290,11.230642,12.105170,14.190880,17.603573,FACTOREL,current
2008-Q4,23262.111980,3206.830090,262.169710,810.209090,945.259780,13.785636,14.746464,16.687378,20.614128,FACTOREL,current
2009-Q1,23302.609810,4018.167650,282.186700,860.590630,987.400030,17.243423,18.233587,20.190861,24.277241,FACTOREL,current
2009-Q2,23293.828300,4139.581980,308.309860,865.588600,1034.992170,17.771153,18.845292,20.717266,25.001277,FACTOREL,current
2009-Q3,23219.839680,4121.403020,355.319140,993.406320,1053.691200,17.749490,18.989150,21.124013,25.475727,FACTOREL,current
2009-Q4,23225.418900,4334.989680,376.310880,975.607240,1136.321430,18.664850,19.961675,21.943685,26.639029,FACTOREL,current
2010-Q1,23270.549290,4617.695720,404.595520,987.667560,1161.141210,19.843518,21.213350,23.107071,27.893660,FACTOREL,current
2010-Q2,23406.412300,4655.305750,395.734840,961.674040,1232.754920,19.889019,21.220945,23.050558,28.109449,FACTOREL,current
2010-Q3,23404.381800,4585.376280,390.055120,996.805420,1207.173020,19.591956,20.910062,22.876681,27.823870,FACTOREL,current
2010-Q4,23377.094710,4702.173930,374.357170,949.093950,1271.982100,20.114450,21.373561,23.231210,28.460069,FACTOREL,current
2011-Q1,23347.329330,4921.172050,401.672630,979.998570,1309.026850,21.078094,22.412919,24.257373,29.638263,FACTOREL,current
2011-Q2,23466.185320,4844.221320,388.754410,926.714180,1384.994200,20.643412,21.936655,23.658260,29.336118,FACTOREL,current
2011-Q3,23482.485840,4998.009840,400.220210,953.684840,1304.671090,21.283990,22.603092,24.356086,29.695184,FACTOREL,current
2011-Q4,23440.326090,5287.296900,395.558230,987.626550,1355.979910,22.556414,23.841596,25.687472,31.238407,FACTOREL,current
2012-Q1,23432.987060,5667.879590,423.705630,1012.778210,1424.143760,24.187610,25.534073,27.328487,33.154215,FACTOREL,current
2012-Q2,23489.516630,5731.026970,435.346650,1010.294250,1470.595190,24.398233,25.773914,27.515809,33.518285,FACTOREL,current
2012-Q3,23491.934030,5824.233520,473.008000,1135.652500,1489.994530,24.792482,26.276890,28.260528,34.310632,FACTOREL,current
2012-Q4,23360.391590,6021.029870,491.207660,1144.714640,1574.325960,25.774525,27.303148,29.241842,35.666324,FACTOREL,current
